"file","mean_grey","sd_grey","mean_area","sd_area","mean_perimeter","sd_perimeter","mean_major","sd_major","mean_minor","sd_minor","mean_ar","sd_ar","mean_turning","sd_turning","duration","N_frames","max_net","net_disp","net_speed","gross_disp","gross_speed","max_step","min_step","sd_step","sd_gross_speed","max_gross_speed","min_gross_speed","id","date","time_point","day","trophic_type"
"sample_00002",69.252168,7.38961243225704,438.53724,55.1985025563019,78.2560116,6.73300999347718,31.9822668,3.90130351247495,17.5764492,2.22138271224783,1.862504,0.412786061592638,-0.03,0.57,5,125,213.25,213,42.65,372.7,74.54,5.66,0.46,1.17,29.35,141.57,11.6,"sample_00002-40","22.09.22",0,0,"autotrophic"
"sample_00002",63.2384838709677,7.3873047618031,303.005322580645,40.6546849074247,64.8757741935484,5.6591334357209,26.5896435483871,2.67891740849434,14.53545,1.66282379550309,1.85537634408602,0.297448494408056,-0.04,0.72,3.76,93,194.95,195,51.85,284.92,75.78,6.56,0.4,1.46,36.65,164.02,10.12,"sample_00002-407","22.09.22",0,0,"autotrophic"
"sample_00002",58.4305217391304,3.54059017768565,210.379891304348,36.8939173623501,51.2765217391304,5.30943826706542,20.4107673913043,2.66732521317998,13.1311565217391,1.63275205232985,1.57704347826087,0.272701048146279,0.09,1.05,1.04,23,46.4,46,44.07,62.52,60.12,5.41,0.29,1.58,39.31,135.23,7.31,"sample_00002-408","22.09.22",0,0,"autotrophic"
"sample_00002",66.4884615384615,6.3741109951476,281.365961538462,53.2396563995154,61.2902076923077,5.3604570025641,24.9550096153846,2.49786154087929,14.3183076923077,2.23503471197618,1.77773076923077,0.294509702073437,0.1,0.47,1.08,26,52.1,52,48.24,88.46,81.91,14.2,0.58,2.46,33.06,177.48,14.4,"sample_00002-43","22.09.22",0,0,"autotrophic"
"sample_00002",54.0505652173913,4.22584059567994,227.852119565217,52.8091739582964,54.9814793478261,6.22449751760089,23.1634467391304,3.03987115754749,12.4728554347826,2.07948763698145,1.89886956521739,0.351792338284054,0.06,0.9,2.12,46,176.07,146,68.97,280.85,132.48,127.06,0.67,18.55,228.27,1588.27,16.8,"sample_00002-431","22.09.22",0,0,"autotrophic"
"sample_00002",56.5067272727273,4.11687965728343,230.380568181818,61.0538383164703,68.50575,7.7859430626152,29.4552818181818,3.52192285347708,10.0182272727273,2.57665059773191,3.13659090909091,0.861110449145582,0.01,1,1.16,22,54.38,54,46.88,73.6,63.45,8.04,0.39,1.94,38.71,164.59,9.84,"sample_00002-453","22.09.22",0,0,"autotrophic"
"sample_00002",63.854336,5.45615340241728,282.254219999999,30.7071893941058,61.1183556,3.75480521709384,24.5161728,1.91014731211285,14.6961216,1.56528944619724,1.690232,0.241320464755224,0,0.63,5,125,233.04,233,46.61,400.2,80.04,6.75,0.13,1.48,37.06,168.68,3.15,"sample_00002-47","22.09.22",0,0,"autotrophic"
"sample_00002",67.2617567567568,8.34082579313412,242.047702702703,52.3576155064406,55.6405418918919,7.32633995312001,21.7566,3.2665322082447,14.1174243243243,1.96766613292039,1.56437837837838,0.293930297042546,-0.16,0.63,1.52,37,64.15,64,42.2,127.57,83.93,11.31,0.95,1.89,34.86,171.93,23.72,"sample_00002-472","22.09.22",0,0,"autotrophic"
"sample_00002",59.5310833333333,4.07147658279963,198.196875,23.9707500134092,50.5146375,4.10104040753032,20.5837875,1.7929284131345,12.2886,1.29809097391956,1.70141666666667,0.308602691868641,0.05,0.74,1.56,36,114.56,115,73.44,130.74,83.81,12.26,0.81,2.06,37.98,174.78,20.25,"sample_00002-479","22.09.22",0,0,"autotrophic"
"sample_00002",63.2003055555556,7.74006782849366,249.6825,50.6866613053742,58.0426875,5.7660464379773,23.4651375,2.28337572608674,13.527,2.31913825479576,1.78127777777778,0.319810534188256,-0.05,1.11,1.56,36,38.88,39,24.93,111.7,71.6,10.01,0.62,1.89,33.94,165.25,15.59,"sample_00002-486","22.09.22",0,0,"autotrophic"
