"file","mean_grey","sd_grey","mean_area","sd_area","mean_perimeter","sd_perimeter","mean_major","sd_major","mean_minor","sd_minor","mean_ar","sd_ar","mean_turning","sd_turning","duration","N_frames","max_net","net_disp","net_speed","gross_disp","gross_speed","max_step","min_step","sd_step","sd_gross_speed","max_gross_speed","min_gross_speed","id","date","species","comment","manual_count"
"sample_00007",124.986224137931,10.1903765215342,13291.6810344828,2044.61851259856,509.874470689655,67.1603454776786,197.658713793103,28.0398166373469,85.4656137931035,3.81574740105606,2.31239655172414,0.31675481356678,0,0.04,2.32,58,895.41,895,385.95,899.38,387.66,25.22,6.74,4.03,100.82,630.39,168.46,"sample_00007-4","22.09.22","Ble",NA,2
"sample_00007",99.66772,2.88230935245088,8844.75288,302.318976103225,439.3860876,23.878366723756,178.2084564,9.6794872500078,63.3219768,2.97080848322706,2.826288,0.269773077161696,-0.01,0.17,5,125,1005.57,1006,201.11,1519.06,303.81,23.62,2.34,4.73,118.29,590.57,58.61,"sample_00007-5","22.09.22","Ble",NA,2
"sample_00008",108.847495867769,11.2278240331211,7140.23869834711,1600.54425217692,409.516151652892,83.6909182081975,164.281723140496,38.1620714581545,55.3641694214876,8.5285686601059,3.02795867768595,0.784361836109396,0.03,0.38,4.84,121,609.51,601,124.22,922.83,190.67,19.65,0.68,5.12,127.95,491.21,16.97,"sample_00008-12","22.09.22","Ble",NA,4
"sample_00008",103.027752,5.30894503318874,9710.80488,380.96570251074,446.7784068,11.6833616708803,175.0649436,4.94128125432195,70.690644,3.57137262344155,2.485216,0.182345939569323,0,0.03,5,125,2123.68,2124,424.74,2141.55,428.31,23.6,8.42,1.97,49.35,590.08,210.53,"sample_00008-6","22.09.22","Ble",NA,4
"sample_00008",100.576064,7.98539528355238,10471.74966,583.263305657874,491.2625376,19.3892819885814,199.2262392,9.32168823502651,66.9574512,2.8891872836175,2.982784,0.217880796945071,0,0.04,5,125,2421.4,2421,484.28,2440.97,488.19,24.21,11.46,2.09,52.19,605.32,286.56,"sample_00008-7","22.09.22","Ble",NA,4
"sample_00008",78.333952,2.31015148524381,6328.0845,227.20332326447,350.4080736,11.4056413290953,140.8877388,5.8226257164916,57.2464584,2.30807096130269,2.46744,0.179797125815773,0.01,0.08,5,125,1549.69,1550,309.94,1929.19,385.84,24.8,3.63,4.82,120.52,619.99,90.81,"sample_00008-8","22.09.22","Ble",NA,4
"sample_00009",95.886984,3.69936817182471,9737.8362,540.711398131494,496.3612932,27.7197532819379,202.6230876,10.894677715989,61.2090756,1.68875156336472,3.313888,0.214779452372172,0,0.03,5,125,2505.47,2505,501.09,2520.9,504.18,31.41,11.6,2.73,68.37,785.35,289.94,"sample_00009-12","22.09.22","Ble",NA,4
"sample_00009",94.3853600000001,5.04012593672663,5969.59146,207.741485634544,395.5962564,18.2461831321561,159.7006044,7.62958354795611,47.6633808,2.03571240532867,3.362,0.290650521772199,0.01,0.06,5,125,1652.34,1652,330.47,1817.97,363.59,20.35,7.92,2.66,66.46,508.83,197.93,"sample_00009-2","22.09.22","Ble",NA,4
"sample_00009",110.405715686274,15.871715744082,11243.7529411765,2637.17296131882,500.573567647059,92.7094402071518,195.302752941177,39.4164234842325,71.6833720588235,11.4749617239975,2.71711764705882,0.391420168614712,0,0.06,4.08,102,1830.55,1831,448.66,1842.42,451.57,54.82,4.33,5.28,132.06,1370.59,108.21,"sample_00009-24","22.09.22","Ble",NA,4
"sample_00009",102.766984,1.95758411422295,10008.93672,348.001296504325,479.9343312,8.30964796473892,199.2491136,3.39545247553904,63.9824508,2.61502384290296,3.120256,0.158490454785342,-0.01,0.21,5,125,1697.09,1697,339.42,1879.55,375.91,22.58,0.95,6.49,162.13,564.42,23.77,"sample_00009-7","22.09.22","Ble",NA,4
