"file","mean_grey","sd_grey","mean_area","sd_area","mean_perimeter","sd_perimeter","mean_major","sd_major","mean_minor","sd_minor","mean_ar","sd_ar","mean_turning","sd_turning","duration","N_frames","max_net","net_disp","net_speed","gross_disp","gross_speed","max_step","min_step","sd_step","sd_gross_speed","max_gross_speed","min_gross_speed","id","date","time_point","day","trophic_type"
"sample_00001",41.227752,8.06641284212585,754.64622,195.929506419652,102.4255368,15.8525724422028,39.5992152,6.43097097067419,23.9586336,4.48493504089855,1.693576,0.352636390086025,0.04,0.55,5,125,178.05,175,35.06,467.62,93.52,14.66,0.14,1.76,43.91,366.49,3.51,"sample_00001-219","22.09.22",0,0,"autotrophic"
"sample_00001",21.762016,3.55480378748024,601.77492,107.101846614705,90.2856456,8.64613257486944,32.1482196,3.76309746530473,23.8966848,3.62109287077245,1.38784,0.350810108546012,-0.03,0.59,5,125,362.91,363,72.58,455.58,91.12,7.73,0.34,1.5,37.56,193.17,8.48,"sample_00001-229","22.09.22",0,0,"autotrophic"
"sample_00001",26.51248,2.42521159901564,563.06502,59.6069298998555,91.5738696000001,3.6550068831402,36.504756,2.69811977189522,19.830582,3.2478081285282,1.900616,0.379080355427405,0.03,0.39,5,125,252,153,30.52,452.69,90.54,8.31,1.1,1.27,31.67,207.75,27.44,"sample_00001-240","22.09.22",0,0,"autotrophic"
"sample_00001",28.91964,6.41400012623595,1022.59746,71.8632177222083,115.9527636,5.07320063831779,38.6075808,1.62204356455487,33.707178,1.58354969928221,1.147304,0.0632821668810518,-0.05,0.42,5,125,167.34,167,33.47,412.53,82.51,6.01,0.54,1.21,30.14,150.25,13.53,"sample_00001-241","22.09.22",0,0,"autotrophic"
"sample_00001",27.73488,3.58968488732961,764.09406,106.344917528481,101.2696668,9.69198277235337,36.1988676,4.08839178472089,26.90658,2.41733228774094,1.35772,0.201995273020387,0.38,0.76,5,125,104.74,43,8.59,390.57,78.11,6.33,0.04,1.23,30.84,158.35,1.06,"sample_00001-248","22.09.22",0,0,"autotrophic"
"sample_00001",22.808808,2.14949355511569,736.1442,118.382789683748,98.5511124,7.70842007964671,36.057798,2.71126628656599,25.922754,3.18923958652625,1.408496,0.177234518592302,0,0.39,5,125,179.92,62,12.34,472.72,94.54,7.47,0.35,1.32,33.02,186.75,8.76,"sample_00001-249","22.09.22",0,0,"autotrophic"
"sample_00001",34.3376052631579,10.4120801347216,742.860592105263,244.894290884004,109.881082894737,26.1723856541463,38.9317973684211,10.5535878660776,24.1276618421053,5.20146721371278,1.67505263157895,0.524699447940021,-0.21,0.69,1.52,38,93.61,86,56.53,167.24,110.03,13.45,0.31,2.85,71.25,336.2,7.78,"sample_00001-256","22.09.22",0,0,"autotrophic"
"sample_00001",26.6843076923077,1.93528777348853,603.107307692308,58.612792668692,96.2869586538461,4.49066497320177,38.8009471153846,2.24086353539349,19.8160269230769,1.8909785621202,1.97857692307692,0.244557090343759,0.01,0.32,2.08,52,164.39,164,79.03,199.62,95.97,7.09,1.6,1.29,32.21,177.34,39.92,"sample_00001-262","22.09.22",0,0,"autotrophic"
"sample_00001",23.4023333333333,1.47845476765439,1198.5975,96.6139893548678,126.14255,4.95062645393868,41.86815,1.96064805442295,36.421,1.88423801233416,1.15176543209877,0.067679810801475,-0.02,0.5,3.24,81,227.24,227,70.14,257.76,79.56,5.44,0.6,1.14,28.59,136.05,14.89,"sample_00001-265","22.09.22",0,0,"autotrophic"
"sample_00001",20.759,2.75258608953977,413.529695121951,119.213347219535,71.3552707317073,11.0015095218568,25.6365329268293,3.4591621380752,20.1753219512195,3.71325143864018,1.29213821138211,0.181176271616276,-0.32,0.9,5,123,79.92,70,13.93,413.53,82.71,11.39,0.37,1.51,32.8,207.58,9.22,"sample_00001-269","22.09.22",0,0,"autotrophic"
